ticker,price_2024
BCFF11,#N/A
VRTA11,"79,10"
VISC11,"97,06"
RBRF11,"6,40"
VGIP11,"79,31"
GGRC11,"9,85"
KNHY11,"101,64"
PVBI11,"76,55"
CYCR11,"8,48"
BRCR11,"41,56"
RZTR11,"86,26"
RBRP11,"49,95"
KNRI11,"136,90"
MALL11,"95,48"
HFOF11,"57,91"
TRXF11,"102,94"
BRCO11,"101,99"
LVBI11,"97,11"
EGYR11,"3,50"
HGRE11,"103,60"
GAME11,"8,29"
VINO11,"4,99"
SDIL11,#N/A
XPPR11,#N/A
SADI11,"8,28"
XPCI11,"78,16"
RECT11,"28,00"
ALZR11,"100,75"
SARE11,"3,66"
HABT11,"78,49"
RBRY11,"88,57"
BCRI11,"59,53"
PATL11,"48,98"
AIEC11,"47,14"
VCRI11,"6,80"
MGFF11,#N/A
SNFF11,"75,95"
HSAF11,"70,00"
EQIR11,"8,00"
HGBS11,"186,08"
BARI11,"69,50"
RZAT11,"86,39"
OUJP11,"74,00"
RBRL11,"66,97"
RBVA11,"89,00"
PORD11,"7,85"
XPIN11,"67,62"
BCIA11,"86,96"
MFII11,"93,38"
BTAL11,"68,49"
SNCI11,"85,27"
APTO11,"8,80"
RBRX11,"7,63"
BTRA11,"42,20"
SPTW11,"32,85"
HSLG11,"76,51"
BLMG11,"26,04"
KFOF11,"70,96"
FCFL11,"110,00"
RPRI11,"82,16"
BIME11,"6,73"
HGFF11,"71,22"
KINP11,#N/A
OUFF11,#N/A
NCHB11,"7,93"
GTWR11,"71,47"
OURE11,#N/A
BPFF11,"56,00"
CPFF11,"60,23"
KCRE11,"8,40"
RINV11,"97,84"
TEPP11,"80,29"
QAGR11,#N/A
JSAF11,"7,78"
PLCR11,"76,11"
MORE11,#N/A
CXCE11B,#N/A
GCFF11,#N/A
RBFF11,"50,82"
DVFF11,"6,06"
SPXS11,"8,69"
HTMX11,"158,84"
CARE11,"1,39"
AFHI11,"90,55"
LGCP11,#N/A
RVBI11,"64,40"
VIFI11,"6,80"
BBFO11,"60,00"
PATC11,"35,19"
SNLG11,"28,50"
JPPA11,"77,43"
RELG11,"54,00"
EDGA11,"15,90"
HOFC11,"24,97"
FIGS11,"46,76"
MANA11,"7,85"
XPCM11,"6,70"
RCRB11,"125,57"
RBHG11,"71,15"
ITIT11,"70,95"
ALZM11,"6,16"
CXCI11,"65,83"
ITIP11,"70,99"
GSFI11,"7,58"
SEQR11,"49,95"
MORC11,#N/A
LFTT11,"8,20"
MGCR11,#N/A
RFOF11,"58,96"
ONEF11,#N/A
RDPD11,#N/A
MGHT11,"13,90"
CXCO11,"58,00"
GCRI11,"58,47"
FLCR11,"98,52"
XPHT12,#N/A
LUGG11,#N/A
RNGO11,"42,61"
HGPO11,"127,86"
FIVN11,"1,55"
PLOG11,#N/A
IBCR11,"61,22"
FIIB11,"492,50"
KIVO11,"59,89"
RBRD11,"34,40"
BBRC11,"100,95"
HREC11,"7,85"
VLOL11,#N/A
FAED11,"132,38"
NAVT11,"66,45"
JRDM11,#N/A
RBED11,"99,57"
QAMI11,#N/A
IRIM11,"61,85"
MFAI11,#N/A
VTLT11,"87,00"
SCPF11,"1,94"
CBOP11,"22,98"
BNFS11,"100,00"
RBHY11,"80,00"
NSLU11,"150,61"
CXAG11,"72,11"
ABCP11,"75,02"
FIIP11B,#N/A
FVPQ11,"42,08"
VCRR11,"60,10"
FLMA11,"131,90"
HLOG11,"80,87"
ZAVI11,"81,35"
NEWL11,"102,40"
MAXR11,"65,00"
JFLL11,"75,01"
CEOC11,"37,70"
CXRI11,"67,10"
PABY11,"11,93"
HRDF11,"3,05"
IDFI11,#N/A
BLUR11,"80,17"
CNES11,"1,10"
RRCI11,"69,50"
RBDS11,"2,89"
RBOP11,"234,00"
HCHG11,"69,24"
CRFF11,"65,07"
RCFA11,"0,95"
RECX11,#N/A
BBFI11B,#N/A
RBIR11,"79,97"
OULG11,"31,44"
HCRI11,"273,90"
MCHY11,#N/A
SHPH11,"893,48"
NVHO11,"12,46"
DPRO11,"6,14"
EVBI11,#N/A
FATN11,"78,20"
HPDP11,"81,44"
CTXT11,"6,47"
LASC11,"110,00"
HBRH11,#N/A
RNDP11,"48,51"
EURO11,"214,99"
LIFE11,"8,71"
RBVO11,#N/A
PQDP11,"2012,00"
BREV11,#N/A
ASMT11,"34,30"
DAMT11B,#N/A
OGHY11,#N/A
NEWU11,"88,69"
GTLG11,#N/A
HUSC11,"90,10"
HUCG11,"102,67"
HOSI11,"87,35"
VSHO11,"67,64"
RBRS11,"38,39"
WPLZ11,"49,25"
FPAB11,#N/A
CCRF11,#N/A
VOTS11,"69,36"
FAMB11B,#N/A
WSEC11,"8,09"
BPML11,"72,96"
WTSP11B,#N/A
CXTL11,"217,56"
HGIC11,"75,05"
BICR11,#N/A
BLMC11,#N/A
TRXB11,"125,07"
PRSN11B,#N/A
HAAA11,"26,06"
NCRI11,"8,60"
ALMI11,"576,01"
HSRE11,"101,98"
PEMA11,#N/A
EDFO11B,#N/A
BRIP11,"947,78"
TRNT11,#N/A
XPHT11,#N/A
PQAG11,"56,49"
ZIFI11,#N/A
PRSV11,"55,18"
MATV11,#N/A
IDGR11,#N/A
CJCT11,"53,00"
RMAI11,"85,00"
PLRI11,"12,03"
VVCO11,"13,99"
BMLC11,"97,99"
MFCR11,#N/A
LATR11B,#N/A
FMOF11,#N/A
SRVD11,#N/A
RCFF11,"97,99"
RBLG11,#N/A
DRIT11B,#N/A
JASC11,#N/A
BICE11,"980,00"
HDEL11,#N/A
KEVE11,"960,00"
BZLI11,#N/A
FLRP11,"1800,00"
ATSA11,"53,01"
FPNG11,#N/A
JPPC11,#N/A
HCST11,#N/A
VXXV11,#N/A
BLCA11,"115,95"
TSER11,#N/A
SJAU11,"54,36"
SHOP11,#N/A
CCME11,"8,86"
SEED11,#N/A
MMVE11,#N/A
YUFI11,"60,00"
BLMO11,#N/A
ERPA11,#N/A
BRLA11,#N/A
MCHF12,#N/A
DOVL11B,#N/A
REIT11,#N/A
HUSI11,#N/A
BTWR11,#N/A
VSEC11,#N/A
MGLG11,#N/A
SIGR11,#N/A
BPRP11,#N/A
ROOF11,#N/A
ARCT11,#N/A
RZAK12,#N/A
EXES11,"9,45"
FTCE11B,#N/A
TCIN11,#N/A
HDOF11,#N/A
RBTS11,"642,75"
GURB11,#N/A
PNPR11,#N/A
HBCR11,#N/A
RBHY12,#N/A
MINT11,#N/A
FEXC11,#N/A
BTCR11,#N/A
XTED11,#N/A
LSPA11,#N/A
RBRI11,"705,05"
JBFO11,#N/A
MCCI12,#N/A
ANCR11B,#N/A
BLCP11,#N/A
VGIR12,#N/A
VRTA12,#N/A
RBCO11,#N/A
BTCR12,#N/A
MBRF11,#N/A
SAIC11B,#N/A
VVPR11,#N/A
HGCR12,#N/A
QIRI11,#N/A
AFOF11,#N/A
LKDV11,#N/A
CORM11,#N/A
IBFF11,#N/A
RBRY12,#N/A
PURB11,#N/A
BRIM11,"980,00"
SOLR11,#N/A
HREC12,#N/A
RZTR12,#N/A
HSAF12,#N/A
ORPD11,#N/A
HABT12,#N/A
CYCR12,#N/A
RBRR12,#N/A
RSPD11,"1199,99"
NPAR11,#N/A
VGHF12,#N/A
EQIN11,#N/A
KNSC12,#N/A
MGIM11,#N/A
IFIE11,#N/A
IFID11,#N/A
RBGS11,#N/A
VGIP12,#N/A
ERCR11,#N/A
TOUR13,#N/A
TOUR12,#N/A
TOUR11,#N/A
TORM13,#N/A
AFCR11,#N/A
CVBI12,#N/A
DMAC11,#N/A
XPCI12,#N/A
SDIL12,#N/A
RBIV11,#N/A
BLCP12,#N/A
TCIN12,#N/A
QIFF11,#N/A
BTLG12,#N/A
OURE12,#N/A
THRA11,#N/A
LOFT13B,#N/A
RBBV11,#N/A
AQLL11,#N/A
PORD12,#N/A
AFOF12,#N/A
QIFF12,#N/A
KISU12,#N/A
TGAR12,#N/A
RCRI11B,#N/A
FEXC12,#N/A
MGCR12,#N/A
BLMG12,#N/A
LOFT11B,#N/A
BCFF12,#N/A
RBRP12,#N/A
HMOC11,#N/A
BARI12,#N/A
VILG12,#N/A
QMFF11,#N/A
FISC11,"70,35"
RBFF12,#N/A
OUCY11,#N/A
MORE12,#N/A
RBRF12,#N/A
RELG12,#N/A
CPTS12,#N/A
RBRL12,#N/A
GRLV11,#N/A
GCFF12,#N/A
BMLC11B,#N/A
BRCO12,#N/A
XPPR12,#N/A
BBVJ11,#N/A
ARFI11B,#N/A
LGCP12,#N/A
GESE11B,#N/A
DOMC11,#N/A
HBTT11,#N/A
BPFF12,#N/A
LVBI12,#N/A
UBSR11,#N/A
FVBI11,#N/A
MXRF12,#N/A
BCIA12,#N/A
YCHY11,#N/A
OUFF12,#N/A
CPTS11B,#N/A
TFOF11,#N/A
CPTS12B,#N/A
SDIP11,#N/A
SAAG11,#N/A
TBOF11,#N/A
OULG11B,#N/A
SNCR11,#N/A
UBSR12,#N/A
RDES11,#N/A
XPHT14,#N/A
XPLG12,#N/A
RBCB11,#N/A
HCTR12,#N/A
VERE11,#N/A
RBCO12,#N/A
XPIN12,#N/A
FOFT11,#N/A
VISC13,#N/A
MGFF12,#N/A
OULG12B,#N/A
TRXL11,#N/A
RECT12,#N/A
FFCI11,#N/A
HSML12,#N/A
XPML13,#N/A
XPLG13,#N/A
MALL12,#N/A
OUCY12,#N/A
FIXX11,#N/A
JSRE13,#N/A
LVBI13,#N/A
OUJP12,#N/A
HFOF13,#N/A
HGJH11,#N/A
PDDA11B,#N/A
AEFI11,#N/A
AGCX11,#N/A
ALZR12,#N/A
XPML12,#N/A
UBSR13,#N/A
GWIR11,#N/A
ATSA11B,#N/A
TGAR11B,#N/A
JSRE12,#N/A
WPLZ11B,#N/A
VISC12,#N/A
BCFF11B,#N/A
FFCI12,#N/A
CEOC11B,#N/A
THRA11B,#N/A
FCFL11B,#N/A
XPGA11,#N/A
WMRB11B,#N/A
EDGA11B,#N/A
FVBI11B,#N/A
FEXC11B,#N/A
HTMX11B,#N/A
CNES11B,#N/A
JRDM11B,#N/A
NSLU11B,#N/A
ALMI11B,#N/A
FAED11B,#N/A
HCRI11B,#N/A
TRNT11B,#N/A
MAXR11B,#N/A
FLRP11B,#N/A
BCFF12B,#N/A
EURO12,#N/A
CNES12B,#N/A
REIT11B,#N/A
BCRI12,#N/A
FIIB12,#N/A
HTMX12B,#N/A
FLCI11,#N/A
VRTA13,#N/A
TSFI11,#N/A
GVFF11,#N/A
CSHP11B,#N/A
BVAR11,#N/A
GWIC11,#N/A
MXRC11,#N/A
RBPR11,#N/A
RBPD11,#N/A
THRA12B,#N/A
CEOC12B,#N/A
FAED12B,#N/A
NCHB11B,#N/A
RCCS11,#N/A
MSHP11,#N/A
STFI11,#N/A
BJRC11,#N/A
JSIM11,#N/A
TRXL12,#N/A
MSLF11B,#N/A
RBPD12,#N/A
RBPD13,#N/A
AQLL11B,#N/A
SAAG12,#N/A
BRCR12,#N/A
RBAG11,#N/A
CSBC11,#N/A
BRCR11L,#N/A
MXRF16,#N/A
MXRF15,#N/A
RBAG12,#N/A
BRCR11B,#N/A
TRXL15,#N/A
ABCP12,#N/A
FFCI11L,#N/A
PQDP11BL,#N/A
NSLU12B,#N/A
FFCI11F,#N/A
FJKI11,#N/A
SHPH11B,#N/A
FMAL11B,#N/A
FSIG11,#N/A
NUBR33,#N/A
M1TA34,"131,50"
XPBR31,"73,31"
IVVB11,"407,70"
BTCL11,#N/A
SMAL11,"85,95"
TRIG11,#N/A
